Package,Overall,FinalRiskScore,Score,Id,Label,Degree,Pageranks,Eigencentrality,In_reach
jwcrypto,0.0,0.612471226,80,1749,jwcrypto-1.4.2,8,9.8e-05,0.00323,7
appium-python-client,0.0,0.643160688,91,7697,appium-python-client-0.47,2,5e-05,0.00046,16
aiohttp-cors,0.0,0.632374749,64,366,aiohttp-cors-0.7.0,10,6.4e-05,0.00349,35
autoflake,0.0,0.759972728,88,12235,autoflake-1.5.3,3,3.8e-05,0.00046,3
array-record,0.0,0.805042113,85,3662,array-record-0.2.0,3,3.8e-05,0.00055,8
peppercorn,0.0,0.786901741,61,2970,peppercorn-0.6,5,0.000146,0.00233,1
cliff,0.0,0.591782514,76,1058,cliff-4.2.0,23,8.7e-05,0.00634,18
fasttext,0.0,0.596459262,67,10984,fasttext-0.9.2,4,3.7e-05,0.00046,4
phik,0.0,0.784103622,63,4579,phik-0.12.3,6,3.7e-05,0.00046,36
svglib,0.0,0.674893175,77,10777,svglib-1.5.1,5,3.9e-05,0.00048,7
gpustat,0.0,0.764192151,82,368,gpustat-1.1,10,0.000121,0.00333,6
orbax-checkpoint,0.0,0.671641247,87,6535,orbax-checkpoint-0.2.1,13,4e-05,0.0005,23
olefile,0.0,0.761452775,58,1895,olefile-0.46,5,7.2e-05,0.00238,1
pydispatcher,0.0,0.684642318,63,1530,pydispatcher-2.0.7,5,7e-05,0.00246,1
dj-database-url,0.0,0.591268663,91,631,dj-database-url-0.5.0,1,4.5e-05,0.00046,1
zeroconf,0.0,0.700618281,88,3607,zeroconf-0.56.0,11,0.000127,0.00381,4
bitsandbytes,0.0,0.628440887,89,5309,bitsandbytes-0.38.1,1,3.8e-05,0.00046,1
palettable,0.0,0.671641247,80,935,palettable-3.3.1,3,4.7e-05,0.00144,1
jsonpath-rw,0.0,0.772896934,61,2792,jsonpath-rw-1.4.0,7,5.9e-05,0.00183,4
fpdf,0.0,0.773364021,61,7879,fpdf-1.7.2,2,4.7e-05,0.00091,1
intervaltree,0.0,0.770199567,64,899,intervaltree-3.1.0,5,6.6e-05,0.00196,2
construct,0.0,0.671641247,67,4310,construct-2.5.3,2,4.7e-05,0.00048,2
pystache,0.0,0.753531244,79,2965,pystache-0.6.0,3,9.2e-05,0.00142,1
simple-websocket,0.0,0.746999869,82,3908,simple-websocket-0.10.0,2,4.1e-05,0.00052,4
pyusb,0.0,0.671641247,68,1319,pyusb-1.2.1,8,0.00018,0.00383,1
evaluate,0.0,0.576360304,83,10798,evaluate-0.3.0,13,3.8e-05,0.00046,72
autobahn,0.0,0.555220871,83,1195,autobahn-23.1.2,17,0.000104,0.00477,24
googleads,0.0,0.769925108,88,8859,googleads-37.0.0,7,3.5e-05,0.0,63
deepmerge,0.0,0.66495816,68,4288,deepmerge-1.1.0,8,0.000102,0.00379,1
requests-cache,0.0,0.587670809,91,1638,requests-cache-1.0.1,19,0.000143,0.00564,36
nox,0.0,0.721001077,89,3270,nox-2022.11.21,6,4.4e-05,0.00091,10
